group,number,gender,Word hebrew,Word arabic
שמות עצם ותואר,single,N/A,ילד,‏وَلَد
שמות עצם ותואר,plural,N/A,ילד,‏أَوْلَاد
שמות עצם ותואר,single,female,שלוש (לש"ע ממין נקבה),‏ثَلَاث
שמות עצם ותואר,single,male,שלושה (לש"ע ממין זכר),‏ثَلَاثَة
שמות עצם ותואר,single,N/A,עיר,‏مَدِينَة
שמות עצם ותואר,plural,N/A,עיר,‏مُدُن
שמות עצם ותואר,single,N/A,יום,‏يَوْم
שמות עצם ותואר,plural,N/A,יום,‏أَيَّام
שמות עצם ותואר,single,N/A,היום (באמצע מילה משפט,‏أَلْيَوْم
שמות עצם ותואר,single,N/A,מכתב,‏مَكْتُوب
שמות עצם ותואר,plural,N/A,מכתב,‏مَكَاتِيب
שמות עצם ותואר,single,N/A,תלמיד,‏تِلْمِيذ
שמות עצם ותואר,plural,N/A,תלמיד,‏تَلَامِيذ
שמות עצם ותואר,single,N/A,מנהל,‏مُدِير
שמות עצם ותואר,plural,N/A,מנהל,‏مُدَرَاء
שמות עצם ותואר,single,N/A,מרכז,‏مَرْكَز
שמות עצם ותואר,plural,N/A,מרכז,‏مَرَاكِز
שמות עצם ותואר,single,N/A,קרוב ל...,‏قَرِيب مِن
מיליות,single,N/A,"ְב (לציון תיאורי מקום וזמן: בירושלים, ביום ראשון, בחודש מאי)",‏في
מיליות,single,N/A,"מול, לנוכח, בפני",‏أَمَامَ
מיליות,single,N/A,...ל,‏لِـ
פעלים,single,N/A,אכל,‏أَكَلَ
פעלים,single,N/A,הבין,‏فَهِمَ
פעלים,single,N/A,גדל,‏كَبُرَ
פעלים,single,N/A,"עמד, עצר",‏وَقَفَ
